A,B,C,D,E,F,G,H
0.5134147029450584,0.0552207274077825,0.03366352587249821,0.637152167085813,0.3284175982056803,0.5573795938587801,0.866698090434633,0.8437421151753216
0.6439638843045868,0.7592421253926049,0.5261898880151035,0.7372868335596489,0.033565443640930614,0.7986097487906613,0.32418536547363586,0.15961932552263836
0.29624758655644934,0.177088723071255,0.41284618279044516,0.7605007245879505,0.642340946847003,0.15714462175771216,0.562107894552209,0.28362790956168416
0.4354507813646449,0.6732574316268163,0.6836794259580493,0.78128610675035,0.7546872405695104,0.2850816519558872,0.11600595215489717,0.15920681362574285
0.31666226550426524,0.11123131475402936,0.6929311258584325,0.03615286707033061,0.9518726869231149,0.448935529438126,0.5386443942229087,0.7289088581967023
0.5783663150704049,0.054867658683741216,0.5783177006719799,0.8843061505122229,0.4890969189614083,0.4842639578226383,0.2444756324695586,0.4123242448158424
0.6199746763099215,0.11176561310625677,0.8351945845147835,0.49441647563051894,0.967804903377894,0.2445252059858224,0.42745641085284525,0.8637061308943957
0.38134803963138453,0.3268720862533737,0.7323113109851321,0.10011286930242247,0.27750911842107173,0.2745289220132656,0.6924104596935446,0.49578262453587674
0.977011687197731,0.4293415629747189,0.6067681843147266,0.052684489067325146,0.9622464650134518,0.7617313418539116,0.7416958708923714,0.3372618758731749
0.9777403139236074,0.15064896059386546,0.9025558005229417,0.6070197310556454,0.5610416432202264,0.8785108793729766,0.2018855790023475,0.8469739748025292
0.3499764470600034,0.2819094022165247,0.9836264134026693,0.42965519095399385,0.9107553876916575,0.45263081991434195,0.5894060553525255,0.7690963549359033
0.7172189146858872,0.6077800929842839,0.9984174884060812,0.4207822230938374,0.8931965366327881,0.23144439464265043,0.4362609480293944,0.5975385680831758
0.7943807854717855,0.4536481629543224,0.7658623730310745,0.24984056975165703,0.13495988129598568,0.31605237963921096,0.909259903055875,0.3513782289023719
0.5449307213426261,0.41322215599260315,0.7726410987011845,0.17940443919664495,0.8325247170677834,0.6962065087605668,0.8741144617761398,0.5568932754263483
0.45359645684813765,0.9792004675411359,0.5252236126510961,0.4128891158781781,0.3033490399157207,0.4219119845042667,0.05827612712987984,0.44223289518163367
0.4098929002223749,0.6450129186524906,0.877520189395221,0.13391643793358066,0.5886175783968648,0.7673580510892278,0.6787235778482148,0.1313775303737431
0.4163946206332727,0.3710716699546338,0.8803205672427395,0.2799719471805189,0.33050465765789594,0.9700139604442194,0.7374315178872859,0.3442556915277106
0.01806268828170199,0.7074552525105086,0.6685708460509424,0.4087802946906476,0.48254730027884307,0.7629366661889924,0.06007230407393582,0.3712252998801534
0.7663310267385497,0.34227419348561483,0.945557134877238,0.07073995614415551,0.3911996228268031,0.04323148586315273,0.9559211064463694,0.8131808814233523
0.06227784031167238,0.17268321574950274,0.385495450850017,0.4891195560889323,0.9485326083815099,0.1911234556510455,0.0799926354573619,0.5594162933180024
0.18507809712964507,0.7691818685756968,0.6518320181858235,0.1883259418058334,0.5243558444324945,0.5111074935776201,0.04064923000404741,0.525240259131313
